,Drug_Name,Reason,Description
8205,Caldob Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8206,CALDOVIS 500mg Capsule 10's,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8207,Clobetagen F 0.05/2% Cream 10gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8208,Clopg 0.05/0.1% Cream 11gmClopg 0.05/0.1% Cream 12Gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8209,Clopmg 0.05/0.1/2% Cream 10gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8210,Clozemagm 0.05/0.2/2% Cream 15gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8211,CREMAGEL H Cream 20gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8212,CRESP 500mcg Injection(Pfs) 1's,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8213,Daflon 500mg Tablet 10'SDaflon 1000mg Tablet 10'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8214,DARBITOP 40mcg Injection 1's,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8215,Dezoflav Tablet 10'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8216,Dobesil H Cream 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8217,Dubix Tablet 6'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8218,Eldicet 50mg Tablet 10'S,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8219,Etholate 250mg Tablet 10'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8220,Eumosone G 0.05/0.1% Cream 10gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8221,FIDONAL Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8222,Flexital 400mg Tablet 10,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8223,Flucort 0.025% Ointment 15gmFlucort 0.01% Lotion 15mlFlucort 0.10% Ointment 15gmFlucort 0.025% Lotion 15mlFlucort 0.025% Gel 15gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8224,Flucorth 0.10% Cream 15gmFlucorth 0.10% Ointment 15gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8225,Fusiwalb 0.025/2% Cream 5gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8226,Habiccor 0.05mg Ointment 15gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8227,Hadensa Ointment 40gmHadensa Ointment 20gmHadensa Capsule 10'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8228,Halobet 0.05% Cream 10gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8229,Halostar 0.05% Cream 15gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8230,Halotop 0.05% Cream 10gmHalotop 0.05% Lotion 15ml,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8231,Halox 0.05% Cream 15gmHalox 0.05% Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8232,Hemolit Cream 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8233,Hilo Capsule 30'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8234,Kinetal 400mg Tablet 10'S,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8235,Lobate G 0.05/0.1% Cream 16GmLobate G 0.05/0.1% Cream 15gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8236,Lobate GM 0.05/2/0.1% Cream 5gmLobate GM 0.05/2/0.1% Cream 7.5gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8237,Logisil H Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8238,Micogram 0.05/0.1/2% Cream 5gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8239,MYOVIN Ointment 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8240,NIFECAINE ORGANO Gel 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8241,Ojus Tablet 30'SOjus Syrup 200ml,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8242,Osil Cream 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8243,Oxerute Cream 30gmOxerute Cream 50gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8244,P Cool Cream 20gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8245,Pilenil Capsule 10'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8246,Pileum Tablet 10'SPileum Suppository 5'S,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8247,Pilief Ointment 20gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8248,Pilon Tablet 10'S,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8249,Pilorute Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8250,Proctosedyl Ointment 10gmProctosedyl Ointment 20gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8251,Proctosedyl BD Cream 20gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8252,RILO FORTE Tablet 10's,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8253,Ruticool Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8254,SCANIL GEL 20GM,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8255,Shield Ointment 15gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8256,Sitcom Cream 30gmSitcom Forte Tablet 7'SSitcom Tablet 7'S,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8257,Sitcom LD Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8258,Smuth Cream 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8259,Sucral Ano Cream 20gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8260,Supacor 0.05% Cream 15gmSupacor 0.05% Cream 30gmSupacor 0.05% Cream 10gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8261,Talimus Ointment 5gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8262,Tetralid Cream 30gmTetralid Cream 5gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8263,Thank OD LD Cream 30gm,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8264,Thank OD Cream 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8265,Thank OD Forte Tablet 7'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8266,Toplap Cream 30gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8267,Trental 300mg Injection 15mlTrental 400mg Tablet 30'STrental 100mg Tablet 10'S,Haemorrhoid,moderate to severe atopic dermatitis (eczema) which is an over-reaction of the skin’s immune system in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids
8268,Ultravex Cream 5gmUltravex 0.5mg Ointment 10gmUltravex 0.5mg Cream 10gm,Haemorrhoid," indicated for pain and bleeding associated with anal fissures and internal or external haemorrhoids, post haemorrhoidectomy pain and minor degrees of proctitis"
8269,A Ret HC Cream 15gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8270,Ad Mela Tx Cream 30gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8271,ADOCLEAR HQ Cream 50ml,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8272,Advan Cream 20gmAdvan Cream 10gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8273,ADVAN INSTA Cream 20gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8274,Advan Thf Cream 15gm,Hyperpigmentation,anti-aging cream
8275,Altris Gel 100gmAltris Gel 60gm,Hyperpigmentation,gives soft texture of skin
8276,Biluma Cream 15gm,Hyperpigmentation,improves skin tone
8277,Bitozed Tablet 10'S,Hyperpigmentation,reduces wrinkles
8278,Blazia L Cream 20gm,Hyperpigmentation,reduces blackheads
8279,Bristaa Cream 20gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8280,Brite Cream 20gmBrite Lite Cream 20gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8281,Brite Day Cream 20gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8282,Britvit Tablet 30'S,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8283,Carofit Max Cream 15gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8284,Carofit Ultra Cream 15gm,Hyperpigmentation,anti-aging cream
8285,Cetanil 20mg Tablet 15'S,Hyperpigmentation,gives soft texture of skin
8286,Claze Gel 60gmCLAZE Gel 60ml,Hyperpigmentation,improves skin tone
8287,Clearz Ultra Gel 15gmClearz Cream 15gm,Hyperpigmentation,reduces wrinkles
8288,Clearz Max Cream 15gm,Hyperpigmentation,reduces blackheads
8289,Clearz Plus Cream 15gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8290,Cosglo Gel 15gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8291,Cosmelite Cream 15gmCosmelite Cream 20gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8292,Cutispot Cream 15gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8293,Declipse Cream 20gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8294,Demelan Cream 20gm,Hyperpigmentation,anti-aging cream
8295,Depiwhite Masque Gel 40mlDepiwhite Cream 15ml,Hyperpigmentation,gives soft texture of skin
8296,Depiwhite Advanced Depigmenting Cream 40ml,Hyperpigmentation,improves skin tone
8297,Dremz Lite Cream 10gmDremz Cream 20gm,Hyperpigmentation,reduces wrinkles
8298,Dremz Mild Cream 20gm,Hyperpigmentation,reduces blackheads
8299,Epi 1000mg Tablet 10'S,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8300,Epieff Effervescent Tablet 20'S,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8301,Epilite Solution 40ml,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8302,Ethiglo Soap 75gmEthiglo Face Wash 70gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8303,EUKROMA 4% Cream 20gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8304,Eveglow Cream 15gm,Hyperpigmentation,anti-aging cream
8305,Fairlite Nite Cream 20gm,Hyperpigmentation,gives soft texture of skin
8306,Getlite Cream 20gm,Hyperpigmentation,improves skin tone
8307,GLOSUTIX PLUS Tablet 2X30's,Hyperpigmentation,reduces wrinkles
8308,Glutafine Facewash 70gmGlutafine Soap 75gm,Hyperpigmentation,reduces blackheads
8309,Glyaha Hqsp Cream 30gmGlyaha Koj Soap 75gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8310,Glyaha HQ Lotion 50gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8311,Golite Cream 30gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8312,Hard Q Lotion 15ml,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8313,Hhlite Cream 20gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8314,HQ 3 3% Cream 30gm,Hyperpigmentation,anti-aging cream
8315,Hyde Cream 30gmHyde Solution 50ml,Hyperpigmentation,gives soft texture of skin
8316,Inmela Cream 15gm,Hyperpigmentation,improves skin tone
8317,KC Lite Skin Lightening Cream 20gm,Hyperpigmentation,reduces wrinkles
8318,Kojic Cream 25gm,Hyperpigmentation,reduces blackheads
8319,Kojiglo Gel 15gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8320,Kojiglo Forte Cream 15gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8321,KOJIGLO GOLD SKIN LIGHTENING Cream 20gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8322,Kojimed Cream 15gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8323,Kojitin Gel 15gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8324,Kojivit Plus Gel 15gmKojivit Gel 15gmKojivit Cream 50gmKojivit Plus Gel 30gm,Hyperpigmentation,anti-aging cream
8325,Kojivit Ultra Gel(Topical) 30gm,Hyperpigmentation,gives soft texture of skin
8326,Kozisol Plus Gel 15gm,Hyperpigmentation,improves skin tone
8327,Kromalite Cream 15gm,Hyperpigmentation,reduces wrinkles
8328,Lanalite Cream 15gm,Hyperpigmentation,reduces blackheads
8329,Liteskin Cream 15gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8330,Lomela Cream 18Gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8331,Lomela Lite Cream 10gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8332,Lookbrite Cream 20gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8333,Lumacip Cream 15gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8334,Lumivoid Cream 15gm,Hyperpigmentation,anti-aging cream
8335,LUMIVOID DEPIGMENTING Cream 15gm,Hyperpigmentation,gives soft texture of skin
8336,Mederma Gel(Topical) 10gmMederma Gel(Topical) 20gm,Hyperpigmentation,improves skin tone
8337,Mederma Stretch Mark Therapy Cream 25gm,Hyperpigmentation,reduces wrinkles
8338,Mela 3 Cream 15gm,Hyperpigmentation,reduces blackheads
8339,Melabest Cream 15gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8340,Melabest F Cream 15gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8341,Melacare Cream 20gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8342,Melacare Forte Cream 20gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8343,Melacare Plus Cream 20gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8344,Melaglow Lotion 50ml,Hyperpigmentation,anti-aging cream
8345,Melaglow Rich Depigmentation And Glow Restoration Cream 20gm,Hyperpigmentation,gives soft texture of skin
8346,Melalite 15 Cream 50gmMelalite 15 Cream 30gm,Hyperpigmentation,improves skin tone
8347,Melalite Forte Cream 30gm,Hyperpigmentation,reduces wrinkles
8348,Melalite XL Cream 15gm,Hyperpigmentation,reduces blackheads
8349,Melalumin Ultra Cream 20gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8350,Melamet Cream 15gm,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8351,Melano TX Cream 15gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8352,MELANORM Cream 30gmMELANORM Cream 15gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8353,Melapik Cream 20gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8354,Melapik Evernew Cream 20gm,Hyperpigmentation,anti-aging cream
8355,Melapik HQ Cream 20gm,Hyperpigmentation,gives soft texture of skin
8356,Melback Lotion 2ml,Hyperpigmentation,improves skin tone
8357,Melbild Solution 5mlMelbild Solution 2ml,Hyperpigmentation,reduces wrinkles
8358,Melbild XL Solution 10ml,Hyperpigmentation,reduces blackheads
8359,Melgain Lotion 5mlMelgain Lotion 2ml,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8360,Meloset 3mg Tablet 10'S,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8361,Melrio Cream 20gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8362,Menrox Depigmentation Cream 30gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8363,Metacortil Lite Cream 15gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8364,Newtel 40mg Tablet 14'S,Hyperpigmentation,anti-aging cream
8365,Niltan Cream 15gm,Hyperpigmentation,gives soft texture of skin
8366,NO Scars Cream 20gm,Hyperpigmentation,improves skin tone
8367,OLYSTER 5mg Tablet 10's,Hyperpigmentation,reduces wrinkles
8368,Onetone Plus Cream 20gm,Hyperpigmentation,reduces blackheads
8369,Opexa Gel 10gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8370,PEARLWHITE CLEAR Lotion 60ml,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8371,Pinkquin Cream 25gm,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8372,Purelite Cream 15gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8373,Pyrulac Liquid 60ml,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8374,Radant KC Forte Cream 15gm,Hyperpigmentation,anti-aging cream
8375,Rioci 0.5mg Tablet 10'S,Hyperpigmentation,gives soft texture of skin
8376,Scarend Gel 10gm,Hyperpigmentation,improves skin tone
8377,Skinbrite Cream 15gm,Hyperpigmentation,reduces wrinkles
8378,SKINLITE Cream 25gmSkinlite Cleanser 50gmSkinlite Cream 20gm,Hyperpigmentation,reduces blackheads
8379,Skinshine Cream 15gmSkinshine Ointment 30gmSkinshine Cream 20gm,Hyperpigmentation," treat melasma, acne induced hyperpigmentation, brown spots, uneven skin tone & dull complexion"
8380,Tamepro 50mg Tablet 10'S,Hyperpigmentation,effective skin brightener with anti-ageing benefits
8381,TANSCREEN SUN SCREEN SPF 25 Lotion 60ml,Hyperpigmentation,potent inhibitor of melanin synthesis and is used to restore an even skin tone by fading skin discolorations
8382,Triluma RD Cream 15gm,Hyperpigmentation," management of melasma, chlosma and post inflammatory hyperpigmentation"
8383,Tubelite Cream 15gm,Hyperpigmentation,"prevent wrinkles, delays process of aging and keeps skin healthy, soft and supple and gives younger look"
8384,Tyrodin Cream 20gm,Hyperpigmentation,anti-aging cream
8385,UV Tec Cream 20gm,Hyperpigmentation,gives soft texture of skin
8386,Vedatec 25% Solution 60ml,Hyperpigmentation,improves skin tone
8387,Vitaderm Skin Lighten Cream + 20gm,Hyperpigmentation,reduces wrinkles
8388,Vitaderm Skin Lightening Cream 20gm,Hyperpigmentation,reduces blackheads
8389,Vitix Gel 50ml,Hyperpigmentation,reduces wrinkles
8390,Zytonin Tablet 10'S,Hyperpigmentation,reduces blackheads
8391,A2 5/10mg Tablet 10'SA2 5/5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
8392,A2B 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
8393,A2B A 5mg/40mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
8394,A2B H 80/12.5mg Tablet 10'SA2B H 40/12.5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
8395,AB RAMPREL 2.5mg Tablet 10'sAB RAMPREL 5mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
8396,ABAMLO 5mg Tablet 10'sABAMLO 2.5mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
8397,Abel 10mg Tablet 10'SAbel 40mg Tablet 10'SAbel 80mg Tablet 10'SAbel 20mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
8398,Abel CT 12.5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
8399,ABENALP 2.5mg Tablet 10'sABENALP 10mg Tablet 10'sABENALP 5mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
8400,ABMETOP XL 25mg Tablet 10'sABMETOP XL 50mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
8401,ABTELMI 80mg Tablet 10'sABTELMI 20mg Tablet 10'sABTELMI 40mg Tablet 10's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
8402,ABTELMI AMH Tablet 10's,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
8403,ABTOLOL 50mg Tablet 14'sABTOLOL 25mg Tablet 14's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
8404,ABTORSMED 10mg Tablet 10'sABTORSMED 20mg Tablet 10'sABTORSMED 5mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
8405,Ace 5Mg Tablet 10'sAce 2.5Mg Tablet 10's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
8406,ACE Revelol 50/5mg Tablet 10'SACE Revelol 50/5mg Tablet 14'SACE Revelol 25/2.5mg Tablet 10'SACE Revelol 25/2.5mg Tablet 14'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
8407,Acedip Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
8408,Aceten 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
8409,Acinopril 2.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
